Date,Number_of_people
01-01-1977,135238230.8
01-02-1977,135434829.6
01-03-1977,135640738.5
01-04-1977,135778514.7
01-05-1977,136108479.4
01-06-1977,136272884.4
01-07-1977,136557478.4
01-08-1977,136706417.3
01-09-1977,136887774.4
01-10-1977,137162904.6
01-11-1977,137302034.2
01-12-1977,137432355.2
01-01-1978,137650720.5
01-02-1978,137895786.7
01-03-1978,138049494.8
01-04-1978,138160938.2
01-05-1978,138349503.2
01-06-1978,138593534.7
01-07-1978,138834154.3
01-08-1978,138969051.8
01-09-1978,139170409.8
01-10-1978,139394858.6
01-11-1978,139564996.1
01-12-1978,139774090.9
01-01-1979,140012396.1
01-02-1979,140223957.3
01-03-1979,140432996.4
01-04-1979,140491230.2
01-05-1979,140733064.1
01-06-1979,141073376.4
01-07-1979,141187922.1
01-08-1979,141350400.7
01-09-1979,141457215.1
01-10-1979,141677059.3
01-11-1979,141884125.1
01-12-1979,142014173.5
01-01-1980,142285724.6
01-02-1980,142426858.3
01-03-1980,142645785.5
01-04-1980,142881509.3
01-05-1980,143322104.6
01-06-1980,143626289.5
01-07-1980,143762873.7
01-08-1980,144029838.6
01-09-1980,144031928.7
01-10-1980,144079191
01-11-1980,144208078.4
01-12-1980,144232308.1
01-01-1981,144336907.7
01-02-1981,144422422.3
01-03-1981,144553813.3
01-04-1981,144678081.4
01-05-1981,144942451.7
01-06-1981,145400177.7
01-07-1981,145388658.7
01-08-1981,145507696
01-09-1981,145547635.9
01-10-1981,145777133.9
01-11-1981,146003764
01-12-1981,146192212.5
01-01-1982,146037734.9
01-02-1982,146102540.5
01-03-1982,146253739.9
01-04-1982,146501678.3
01-05-1982,146724555
01-06-1982,146965863.2
01-07-1982,147022016.5
01-08-1982,147160865
01-09-1982,147338561.3
01-10-1982,147566944.1
01-11-1982,147679524.5
01-12-1982,147862378.7
01-01-1983,147398171.1
01-02-1983,147516467.7
01-03-1983,147824820.8
01-04-1983,148157790.3
01-05-1983,148338694.5
01-06-1983,148190028.1
01-07-1983,148374952.3
01-08-1983,148524086.8
01-09-1983,148692871.7
01-10-1983,148872366.6
01-11-1983,148894400.4
01-12-1983,149038819.3
01-01-1984,149133751.6
01-02-1984,149262922.5
01-03-1984,149430988.2
01-04-1984,149610822.9
01-05-1984,149688871.6
01-06-1984,149806749.8
01-07-1984,149961860.7
01-08-1984,150082307.9
01-09-1984,150269463.4
01-10-1984,150342608.8
01-11-1984,150472736.3
01-12-1984,150687971.8
01-01-1985,150528986.3
01-02-1985,150677889.3
01-03-1985,150801316.7
01-04-1985,150938719.1
01-05-1985,150994618.8
01-06-1985,151280841.3
01-07-1985,151296709
01-08-1985,151397371.8
01-09-1985,151484645.9
01-10-1985,151631677.2
01-11-1985,151771146.5
01-12-1985,151939652.2
01-01-1986,152278595.4
01-02-1986,152449956.1
01-03-1986,152595677.4
01-04-1986,152760684.8
01-05-1986,152925070
01-06-1986,153050103.7
01-07-1986,153142930.8
01-08-1986,153288586.5
01-09-1986,153450396.2
01-10-1986,153577916
01-11-1986,153744952.3
01-12-1986,153806620.5
01-01-1987,153834566
01-02-1987,154049961.7
01-03-1987,154188224.4
01-04-1987,154348399.5
01-05-1987,154527863
01-06-1987,154685201.9
01-07-1987,154722542.5
01-08-1987,154820653.9
01-09-1987,154923862
01-10-1987,155028766.2
01-11-1987,155187428.4
01-12-1987,155251340.7
01-01-1988,155402203.8
01-02-1988,155485453.5
01-03-1988,155621682.2
01-04-1988,155638465.6
01-05-1988,155841078.4
01-06-1988,155976788.4
01-07-1988,156065399.3
01-08-1988,156133048.9
01-09-1988,156288857.2
01-10-1988,156424705.7
01-11-1988,156521195.4
01-12-1988,156640333.8
01-01-1989,156745524.3
01-02-1989,156823542.8
01-03-1989,156861391.5
01-04-1989,156918299
01-05-1989,156983238.1
01-06-1989,156999984.3
01-07-1989,157137481.6
01-08-1989,157272349.2
01-09-1989,157657421.5
01-10-1989,157682080.4
01-11-1989,157814484.2
01-12-1989,157923610
01-01-1990,159247861.5
01-02-1990,159381830.3
01-03-1990,159418209
01-04-1990,159534561.3
01-05-1990,159594889.6
01-06-1990,159719051.8
01-07-1990,159807166
01-08-1990,159974639.4
01-09-1990,160220642.2
01-10-1990,160238865.5
01-11-1990,160492741.3
01-12-1990,160677073.1
01-01-1991,160537299.7
01-02-1991,160713742.4
01-03-1991,160918459.1
01-04-1991,160968722.2
01-05-1991,161134135.9
01-06-1991,161197120.7
01-07-1991,161197237.2
01-08-1991,161402588.6
01-09-1991,161511103.4
01-10-1991,161641740.1
01-11-1991,161821548.6
01-12-1991,162039861
01-01-1992,161793879.9
01-02-1992,162033695.4
01-03-1992,162202819.9
01-04-1992,162311825.1
01-05-1992,162465779.2
01-06-1992,162374755.7
01-07-1992,162416370.8
01-08-1992,162807210.4
01-09-1992,163059262.4
01-10-1992,163266191.1
01-11-1992,163405963
01-12-1992,163522075.5
01-01-1993,163376122.9
01-02-1993,163537515.1
01-03-1993,163680622.3
01-04-1993,163883643.4
01-05-1993,164003178.6
01-06-1993,163999676.8
01-07-1993,164141067.8
01-08-1993,164347212.4
01-09-1993,164583439.2
01-10-1993,164778561.4
01-11-1993,164822950.6
01-12-1993,164974861.8
01-01-1994,165040478.3
01-02-1994,165233964.5
01-03-1994,165417460.5
01-04-1994,165622288.3
01-05-1994,165702831.9
01-06-1994,165842973.2
01-07-1994,166001223.5
01-08-1994,166013646.1
01-09-1994,166134380.3
01-10-1994,166209136.3
01-11-1994,166228731.6
01-12-1994,166369641.4
01-01-1995,166394446.1
01-02-1995,166514286.9
01-03-1995,166670188.1
01-04-1995,166878505.9
01-05-1995,166988149.4
01-06-1995,167072145.8
01-07-1995,167210729.7
01-08-1995,167347679.7
01-09-1995,167474816
01-10-1995,167620890.3
01-11-1995,167795348.3
01-12-1995,167977687.6
01-01-1996,167974239.5
01-02-1996,168102558.5
01-03-1996,168297869.2
01-04-1996,168519341.9
01-05-1996,168628334.6
01-06-1996,168764318.6
01-07-1996,168833096
01-08-1996,168998755.3
01-09-1996,169247942.4
01-10-1996,169368469.5
01-11-1996,169651740.5
01-12-1996,169843864
01-01-1997,170327425.4
01-02-1997,170455031
01-03-1997,170632136.3
01-04-1997,170757999
01-05-1997,170867625.7
01-06-1997,171078884.1
01-07-1997,171193315.7
01-08-1997,171332012.5
01-09-1997,171520006.4
01-10-1997,171678833.5
01-11-1997,171820554.5
01-12-1997,172032492.5
01-01-1998,172105385.5
01-02-1998,172288927.1
01-03-1998,172398267.6
01-04-1998,172490309.7
01-05-1998,172711549
01-06-1998,172921547.7
01-07-1998,173111852.9
01-08-1998,173286988.3
01-09-1998,173441763.3
01-10-1998,173561319.5
01-11-1998,173713323.2
01-12-1998,173886687.4
01-01-1999,174337320.9
01-02-1999,174537412.7
01-03-1999,174646626.1
01-04-1999,174807086.7
01-05-1999,175014593.3
01-06-1999,175263597.7
01-07-1999,175441421.4
01-08-1999,175608805.1
01-09-1999,175731117.4
01-10-1999,175966985.5
01-11-1999,176048904
01-12-1999,176182546.8
01-01-2000,178196468.5
01-02-2000,178257547.3
01-03-2000,178373536.2
01-04-2000,178512350.4
01-05-2000,178793286.2
01-06-2000,179044007.3
01-07-2000,179408604.5
01-08-2000,179432033.8
01-09-2000,179640500.7
01-10-2000,179806811.4
01-11-2000,179921556.9
01-12-2000,180064026.6
01-01-2001,180321334.5
01-02-2001,180488707.4
01-03-2001,180587924.8
01-04-2001,180852260.6
01-05-2001,180994612.4
01-06-2001,181381515.6
01-07-2001,181574003.2
01-08-2001,181891547.6
01-09-2001,181968338.9
01-10-2001,182275565.7
01-11-2001,182534297.1
01-12-2001,182737444.9
01-01-2002,182703642.4
01-02-2002,182833345.6
01-03-2002,183096720.3
01-04-2002,183333902.5
01-05-2002,183454301.6
01-06-2002,183695032.9
01-07-2002,183837170.6
01-08-2002,184116709.4
01-09-2002,184234748
01-10-2002,184450151.3
01-11-2002,184795643.7
01-12-2002,184905026.4
01-01-2003,185679337.7
01-02-2003,185826337.8
01-03-2003,186148596.5
01-04-2003,186469458.7
01-05-2003,186727745.8
01-06-2003,186914629.2
01-07-2003,187190097.3
01-08-2003,187401943.8
01-09-2003,187571060.9
01-10-2003,187709808.6
01-11-2003,187900258.9
01-12-2003,188014230.9
01-01-2004,187558295
01-02-2004,187825965.2
01-03-2004,188114770.9
01-04-2004,188343353.9
01-05-2004,188555130.7
01-06-2004,188690055.7
01-07-2004,188794178.9
01-08-2004,189019751.6
01-09-2004,189269273.8
01-10-2004,189482302.2
01-11-2004,189654741.8
01-12-2004,189863345.7
01-01-2005,190042163.6
01-02-2005,190227636.2
01-03-2005,190431742.8
01-04-2005,190506379
01-05-2005,190682239.6
01-06-2005,190878561.2
01-07-2005,191062156
01-08-2005,191164184.7
01-09-2005,191491906.6
01-10-2005,191700080.8
01-11-2005,192006903.5
01-12-2005,192195961.9
01-01-2006,192317827.7
01-02-2006,192522779.1
01-03-2006,192600009.6
01-04-2006,192802331.4
01-05-2006,192953892
01-06-2006,193192116.3
01-07-2006,193436481.6
01-08-2006,193521115.5
01-09-2006,193601934.1
01-10-2006,193703919.5
01-11-2006,193904995.8
01-12-2006,194085252.9
01-01-2007,194800779.6
01-02-2007,195040424.1
01-03-2007,195137456.2
01-04-2007,195262526.5
01-05-2007,195410746.4
01-06-2007,195682070.1
01-07-2007,195853193.3
01-08-2007,195986209.9
01-09-2007,196066395.5
01-10-2007,196119392.5
01-11-2007,196151638.9
01-12-2007,196411703.6
01-01-2008,196033519.5
01-02-2008,196230889.4
01-03-2008,196358805.4
01-04-2008,196216068.4
01-05-2008,196434673.5
01-06-2008,196495451
01-07-2008,196539157.2
01-08-2008,196647377.2
01-09-2008,196797311.6
01-10-2008,196916118.6
01-11-2008,197112784.2
01-12-2008,197382527.8
01-01-2009,197105481
01-02-2009,197310220.7
01-03-2009,197598683
01-04-2009,197882420.2
01-05-2009,198006957.2
01-06-2009,197634074.6
01-07-2009,197729941.8
01-08-2009,198073945.4
01-09-2009,198395461.4
01-10-2009,198694235.9
01-11-2009,198752556.7
01-12-2009,198800670.8
01-01-2010,198301213.8
01-02-2010,198454961.4
01-03-2010,198660634
01-04-2010,198995243.7
01-05-2010,199074400.5
01-06-2010,198916401.6
01-07-2010,198999913.9
01-08-2010,199205385.9
01-09-2010,199526908.8
01-10-2010,199851281.2
01-11-2010,199990523.4
01-12-2010,199997243.6
01-01-2011,199166160.6
01-02-2011,199358883.3
01-03-2011,199544092.6
01-04-2011,199949505.1
01-05-2011,200054519.3
01-06-2011,200017447.3
01-07-2011,200139458.4
01-08-2011,200151446
01-09-2011,200262475.5
01-10-2011,200417924.9
01-11-2011,200302309
01-12-2011,200294899.6
01-01-2012,200961161.1
01-02-2012,201093788
01-03-2012,201255475.1
01-04-2012,201508236.5
01-05-2012,201527938.5
01-06-2012,201490542
01-07-2012,201505475.4
01-08-2012,201579349.1
01-09-2012,201619549.4
01-10-2012,201653675.9
01-11-2012,201699917.8
01-12-2012,201796969.8
01-01-2013,201729285.4
01-02-2013,201887451.3
01-03-2013,202021977.4
01-04-2013,202165831
01-05-2013,202298610
01-06-2013,202314520.5
01-07-2013,202324732.1
01-08-2013,202519475.5
01-09-2013,202633793.7
01-10-2013,202730640.9
01-11-2013,202708113.7
01-12-2013,202758229.7
01-01-2014,202533279.1
01-02-2014,202719622.3
01-03-2014,202702004.5
01-04-2014,202830078.9
01-05-2014,202931209.6
01-06-2014,203070160.5
01-07-2014,203053321.2
01-08-2014,203144336.9
01-09-2014,203209347.1
01-10-2014,203242118.9
01-11-2014,203370319.1
01-12-2014,203361646.8
01-01-2015,203873956
01-02-2015,203934776.4
01-03-2015,203964629.9
01-04-2015,203980783.6
01-05-2015,204238020
01-06-2015,204431962.1
01-07-2015,204547151.7
01-08-2015,204568066.2
01-09-2015,204642188.2
01-10-2015,204687093.2
01-11-2015,204733358.8
01-12-2015,204704986
01-01-2016,205091906.9
01-02-2016,205100711.9
01-03-2016,205176395.1
01-04-2016,205245112.5
01-05-2016,205440409.2
01-06-2016,205572634.3
01-07-2016,205752299.9
01-08-2016,205657097
01-09-2016,205737026.4
01-10-2016,205831425.1
01-11-2016,205790891.1
01-12-2016,205880752.9
01-01-2017,205411871.8
01-02-2017,205435439.4
01-03-2017,205331383.4
01-04-2017,205363906.4
01-05-2017,205529757.2
01-06-2017,205673925
01-07-2017,205817518.1
01-08-2017,205746370.5
01-09-2017,205703643.9
01-10-2017,205719962.4
01-11-2017,205701948.4
01-12-2017,205766903
01-01-2018,206418321.8
01-02-2018,206272656.1
01-03-2018,206194248.8
01-04-2018,206208506.8
01-05-2018,206457710.3
01-06-2018,206629935.3
01-07-2018,206724754.6
01-08-2018,206721135.4
01-09-2018,206671526.4
01-10-2018,206603818.2
01-11-2018,206525898.2
01-12-2018,206661642.9
01-01-2019,206394984.7
01-02-2019,206326103.5
01-03-2019,206211421.2
01-04-2019,206235034.1
01-05-2019,206599830.5
01-06-2019,206610853.2
01-07-2019,206577111.4
01-08-2019,206356068.2
01-09-2019,206190503.6
01-10-2019,205984028.2
01-11-2019,205851697.6
01-12-2019,205824811
01-01-2020,205600164
01-02-2020,205395858.6
01-03-2020,205418370.9
01-04-2020,206931911.5
01-05-2020,207327954.6
01-06-2020,205966588.5
01-07-2020,205983530
01-08-2020,205896412.4
01-09-2020,206155987
01-10-2020,205836842.6
01-11-2020,205860071.2
01-12-2020,205597429.6
01-01-2021,205224271.9
01-02-2021,205045637.1
